run_date,session,ticker,direction,setup,price,zone_lo,zone_hi,trigger,invalid,expiry,strike,ask,spread_pct,oi,vol,iv_pct,cost,fits_cap,trigger_fired,fired_time,fired_price,invalidated,note
2026-08-03 18:14 ET,,SPY,CALL,breakout watch,757.67,745.53,758.45,758.45,745.53,2026-08-10,760.0,3.28,0.9,4026,7553,9.7,328.0,False,not_watched,,,N,
2026-08-04 17:30 ET,am,WMT,PUT,breakdown watch,111.55,106.79,107.25,106.79,107.25,2026-08-14,100.0,0.06,83.3,950,47,32.5,6.0,True,N,,,N,
2026-08-04 17:30 ET,am,CSCO,CALL,breakout watch,121.74,122.79,122.89,122.89,122.79,2026-08-21,125.0,5.2,3.8,4318,878,60.4,520.0,True,N,,,N,
2026-08-04 17:36 ET,am,XOM,CALL,breakout watch,153.96,158.71,160.45,160.45,158.71,2026-08-07,167.5,0.09,55.6,553,36,43.4,9.0,True,N,,,N,
2026-08-04 17:36 ET,am,WMT,PUT,breakdown watch,111.55,106.79,107.25,106.79,107.25,2026-08-07,106.0,0.09,55.6,1272,1427,31.3,9.0,True,N,,,N,
2026-08-04 17:36 ET,am,CSCO,CALL,breakout watch,121.74,122.79,122.89,122.89,122.79,2026-08-21,125.0,5.2,3.8,4318,878,60.4,520.0,True,N,,,N,
2026-08-04 17:36 ET,am,IWM,CALL,breakout watch,301.71,301.5,302.72,302.72,301.5,2026-08-07,303.0,1.74,3.4,1421,5542,18.4,174.0,True,N,,,N,
2026-08-05 10:24 ET,am,XOM,CALL,breakout watch,152.45,150.98,153.89,153.89,150.98,2026-08-21,162.5,0.95,0.0,905,317,31.0,95.0,True,N,,,N,
2026-08-05 10:24 ET,am,QQQ,CALL,breakout watch,725.95,720.85,726.83,726.83,720.85,2026-08-10,740.0,3.08,1.3,5650,1100,22.2,308.0,True,N,,,N,
2026-08-05 10:24 ET,am,IWM,CALL,breakout watch,302.68,301.5,302.72,302.72,301.5,2026-08-11,304.0,2.28,2.6,524,41,17.1,228.0,True,N,,,N,
2026-08-05 10:43 ET,am,XOM,CALL,breakout watch,151.64,150.98,153.89,153.89,150.98,2026-08-21,170.0,0.28,0.0,6505,18,33.4,28.0,True,N,,,N,
2026-08-05 10:43 ET,am,QQQ,CALL,breakout watch,723.28,720.85,726.83,726.83,720.85,2026-08-10,740.0,2.46,1.6,5650,1361,22.1,246.0,True,N,,,N,
2026-08-05 10:43 ET,am,IWM,CALL,breakout watch,301.32,301.5,302.72,302.72,301.5,2026-08-11,304.0,2.06,2.4,524,57,19.2,206.0,True,N,,,N,
2026-08-05 11:14 ET,am,WMT,PUT,breakdown watch,112.18,112.07,113.29,112.07,113.29,2026-08-21,111.0,2.8,3.9,1963,10,35.0,280.0,True,N,,,N,
